Benchmark#,Description,Idea/Standard,Subject,Grade,Body Of Knowledge/ Strand
ELA.9.C.1.2,"Write narratives using narrative techniques, varied transitions, and a clearly established point of view.",Communicating Through Writing,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.1.3,"Write to argue a position, supporting claims using logical reasoning and credible evidence from multiple sources, rebutting counterclaims with relevant evidence, using a logical organizational structure, elaboration, purposeful transitions, and a tone appropriate to the task.",Communicating Through Writing,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.1.4,"Write expository texts to explain and analyze information from multiple sources, using a logical organization, varied purposeful transitions, and a tone appropriate to the task.",Communicating Through Writing,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.1.5,"Improve writing by considering feedback from adults, peers, and/or online editing tools, revising for clarity and cohesiveness.",Communicating Through Writing,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.2.1,"Present information orally, with a logical organization and coherent focus, with credible evidence, creating a clear perspective.",Communicating Orally,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",Following Conventions,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.4.1,"Conduct research to answer a question, drawing on multiple reliable and valid sources, and refining the scope of the question to align with findings.",Researching,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.5.1,Create digital presentations with coherent ideas and a clear perspective.,Creating and Collaborating,English Language Arts (B.E.S.T.),9,Communication
ELA.9.C.5.2,Use online collaborative platforms to create and export publication-ready quality writing tailored to a specific audience.,Creating and Collaborating,English Language Arts (B.E.S.T.),9,Communication
ELA.9.R.1.1,Explain how key elements enhance or add layers of meaning and/or style in a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.1.2,Analyze universal themes and their development throughout a literary text.,Reading Prose and Poetry,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.1.3,"Analyze the influence of narrator perspective on a text, explaining how the author creates irony or satire.",Reading Prose and Poetry,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.1.4,"Analyze the characters, structures, and themes of epic poetry.",Reading Prose and Poetry,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.2.1,Analyze how multiple text structures and/or features convey a purpose and/or meaning in texts.,Reading Informational Text,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.2.2,Evaluate the support an author uses to develop the central idea(s) throughout a text.,Reading Informational Text,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.2.3,Analyze how an author establishes and achieves purpose(s) through rhetorical appeals and/or figurative language.,Reading Informational Text,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.2.4,"Compare the development of two opposing arguments on the same topic, evaluating the effectiveness and validity of the claims.",Reading Informational Text,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.3.1,Explain how figurative language creates mood in text(s).,Reading Across Genres,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.3.2,Paraphrase content from grade-level texts.,Reading Across Genres,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.3.3,"Compare and contrast the ways in which authors have adapted mythical, classical, or religious literary texts.",Reading Across Genres,English Language Arts (B.E.S.T.),9,Reading
ELA.9.R.3.4,Explain an author’s use of rhetoric in a text.,Reading Across Genres,English Language Arts (B.E.S.T.),9,Reading
ELA.9.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,Finding Meaning,English Language Arts (B.E.S.T.),9,Vocabulary
ELA.9.V.1.2,Apply knowledge of etymology and derivations to determine meanings of words and phrases in grade-level content.,Finding Meaning,English Language Arts (B.E.S.T.),9,Vocabulary
