Learner Outcome,Competency,Description,Component Skill,Emerging,Developing,Proficient,Applying
Holders of Foundational Knowledge,Governments (FK.SS.1),"Understand governments. Cultivate, refine, and leverage perspectives on how governments work and how they could be improved.",Role of government (FK.SS.1.a),"I can identify the roles, duties, and mechanisms of different governments across the world.","I can describe how different governments have taken root in different places, and how they reflect the thinking of influential thinkers (e.g., philosophers, lawyers, politicians, etc.).","I evaluate the outcomes of different governments and policies (at local, regional, national, and international levels) and how they are based on philosophical, historical, and legal precedents.","I advocate for more equitable policy and representation in local, regional, national, and international governments using philosophical, historical, and legal precedents."
Holders of Foundational Knowledge,Governments (FK.SS.1),,Rights of individuals (FK.SS.1.b),I can identify and describe the differences between various worldviews about the rights and duties of individuals.,"I can compare and contrast specific perspectives on the rights and duties of individuals found in philosophical, historical, and legal precedents.","I analyze and evaluate different perspectives on the rights and duties of individuals using supporting evidence of philosophical, historical, and legal precedents.","I advocate for the rights and duties of individuals using philosophical, historical, and legal precedents."
Holders of Foundational Knowledge,Governments (FK.SS.1),,Public policy (FK.SS.1.c),I can give examples of different instances where governments have established policies that had intended and unintended outcomes.,I can describe the intended and unintended outcomes of different past government policies and how they might have been implemented differently to improve outcomes.,I evaluate current public policies in terms of intended and unintended outcomes and related consequences.,I construct compelling arguments regarding the details of how various types of public policies should be developed to achieve optimal outcomes.
Holders of Foundational Knowledge,Politics (FK.SS.2),"Understand political and social power. See, utilize, and develop strategies to support and/or counteract various mechanisms of political and social power.",Influencing government (FK.SS.2.a),I can identify when and where I or others can influence governments or institutions.,I can investigate and describe mechanisms within governmental and social structures where pressure might produce change.,"I analyze mechanisms within governmental, social, and legal structures to identify where one could apply pressure to create change, and create associated plans and strategies.",I identify and practice exploiting mechanisms within governmental and other social structures where I am able to apply pressure to create change.
Holders of Foundational Knowledge,Politics (FK.SS.2),,Social movements (FK.SS.2.b),"I can describe key events, approaches, and outcomes of past social movements.",I can compare and contrast successful strategies from different social movements.,"I analyze patterns across historical and present-day social movements and revolutions to identify effective strategies, guiding beliefs, and levers of change.",I practice incorporating and/or utilizing strategies that have made past social movements successful by adapting and effectively communicating them to connect to current situations.
Holders of Foundational Knowledge,Politics (FK.SS.2),,Social equity (FK.SS.2.c),I can describe how power and privilege operate in a social context.,I can identify forms of privilege and oppression and describe their mechanisms.,"I analyze how current social movements seek to impact structures of power (e.g., laws, policies, NGOs) that influence expectations regarding different groups.","I analyze and compare complex differences between social groups and how privilege and oppression (e.g., racism, colonialism) are created within them."
Holders of Foundational Knowledge,Politics (FK.SS.2),,Economic equity (FK.SS.2.d),I can identify basic social and economic support systems in my community.,"I can describe local, regional, and national social and economic opportunities and their supporting structures.","I evaluate local, regional, and national social and economic opportunities/support systems (or the lack thereof), and describe the structures, politics, and policies that impact them.",I evaluate trends and practices regarding these support systems and advocate for how they might better meet community needs.
Holders of Foundational Knowledge,Economics (FK.SS.3),Understand economic forces. Leverage an understanding of economics and human relationships to physical resources.,Economic behavior (FK.SS.3.a),"I can describe supply, demand, competition, and rational actors in daily life.",I can describe marginal benefits and costs of specific economic decisions and how they vary by context.,"I analyze the outcomes and effectiveness of policies, structures, and incentives designed to affect individual and market behavior, including economic dependence/interdependence.","I analyze the unintended impacts of a variety of policies, structures, and incentives on economic behavior, and clearly communicate the causal links between them."
Holders of Foundational Knowledge,Economics (FK.SS.3),,Economic forces (FK.SS.3.b),"I can describe roles of institutions (corporations, non-profits, unions) and norms/laws (property rights, rule of law) in a market economy.","I can interpret data on employment, inflation/deflation, average income, production, and economic growth.",I evaluate the relevance and likely outcomes of different monetary and fiscal policies in various economic conditions.,I evaluate how different policies/incentives might be designed to optimize economic outcomes and advocate for improvements.
Holders of Foundational Knowledge,Economics (FK.SS.3),,Access to resources (FK.SS.3.c),"I can give examples of how societies have used physical surroundings (resources, geographic features) to support communities.",I can analyze and describe the impact of human settlement activities on environmental and ecological characteristics of places/regions.,I analyze relationships between human settlements and environmental/ecological characteristics to explain changes in economic activities and cultural norms.,"I investigate how economic globalization and resource use contribute to competition, cooperation, and violence within and among groups."
Holders of Foundational Knowledge,Economics (FK.SS.3),,Resource competition (FK.SS.3.d),"I can describe moments in history when groups competed, cooperated, or committed violence to obtain resources.","I can compare and contrast group relationships when competing, cooperating, or using violence for resources.",I analyze motives behind economic globalization and its relationship to resource use.,I evaluate how globalization and resource competition influence social and economic outcomes and propose strategies for equitable resource management.
Holders of Foundational Knowledge,Cultures (FK.SS.4),Understand different cultures. Explore and understand cultures other than my own.,Cultural difference (FK.SS.4.a),I can recognize and/or describe the cultural and linguistic likeness and difference between world cultures.,"I can distinguish and connect sub-units of historical, linguistic, and social likeness/difference between world cultures.","I analyze and synthesize the nuances and complexities of historical, linguistic, and social interactions between world cultures to help others understand and relate to them.",I apply my understanding of world cultures to advocate for my community or another community.
